book_id,title,genre
1,"The Hunger Games (The Hunger Games, #1)",fantasy
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",fantasy
3,"Twilight (Twilight, #1)",fantasy
4,To Kill a Mockingbird,classics
5,The Great Gatsby,fantasy
7,The Hobbit,fantasy
8,The Catcher in the Rye,fantasy
9,"Angels & Demons  (Robert Langdon, #1)",favorites
10,Pride and Prejudice,fantasy
11,The Kite Runner,fantasy
12,"Divergent (Divergent, #1)",young-adult
13,1984,fantasy
14,Animal Farm,classics
15,The Diary of a Young Girl,history
16,"The Girl with the Dragon Tattoo (Millennium, #1)",favorites
17,"Catching Fire (The Hunger Games, #2)",young-adult
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",fantasy
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",fantasy
20,"Mockingjay (The Hunger Games, #3)",young-adult
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",favorites
22,The Lovely Bones,fiction
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",young-adult
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",favorites
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",favorites
26,"The Da Vinci Code (Robert Langdon, #2)",favorites
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",favorites
28,Lord of the Flies,favorites
29,Romeo and Juliet,favorites
31,The Help,favorites
32,Of Mice and Men,classics
33,Memoirs of a Geisha,fantasy
35,The Alchemist,fiction
36,"The Giver (The Giver, #1)",fantasy
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",children
38,The Time Traveler's Wife,fiction
39,"A Game of Thrones (A Song of Ice and Fire, #1)",fantasy
40,"Eat, Pray, Love",classics
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",young-adult
42,"Little Women (Little Women, #1)",classics
43,Jane Eyre,classics
44,"The Notebook (The Notebook, #1)",romance
45,Life of Pi,favorites
46,Water for Elephants,fiction
47,The Book Thief,fiction
48,Fahrenheit 451,fiction
49,"New Moon (Twilight, #2)",young-adult
50,Where the Sidewalk Ends,favorites
51,"City of Bones (The Mortal Instruments, #1)",fiction
52,"Eclipse (Twilight, #3)",young-adult
53,"Eragon (The Inheritance Cycle, #1)",fantasy
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",science-fiction
55,Brave New World,fiction
56,"Breaking Dawn (Twilight, #4)",young-adult
57,The Secret Life of Bees,fiction
58,The Adventures of Huckleberry Finn,classics
59,Charlotte's Web,children
60,The Curious Incident of the Dog in the Night-Time,fiction
62,"The Golden Compass (His Dark Materials, #1)",fiction
63,Wuthering Heights,fiction
64,My Sister's Keeper,fiction
65,Slaughterhouse-Five,fiction
66,Gone with the Wind,fiction
67,A Thousand Splendid Suns,favorites
68,The Perks of Being a Wallflower,young-adult
70,"Ender's Game (Ender's Saga, #1)",young-adult
71,Frankenstein,horror
72,The Shining (The Shining #1),horror
73,"The Host (The Host, #1)",fiction
74,Looking for Alaska,fiction
75,"Bridget Jones's Diary (Bridget Jones, #1)",detective
76,Sense and Sensibility,classics
77,"Holes (Holes, #1)",fiction
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",favorites
79,The Odyssey,mythological
80,The Little Prince,fiction
81,The Glass Castle,fiction
82,Into the Wild,fiction
83,A Tale of Two Cities,classics
84,"Jurassic Park (Jurassic Park, #1)",favorites
85,The Giving Tree,fiction
86,A Time to Kill,fiction
87,Night (The Night Trilogy #1),fiction
88,Paper Towns,fiction
89,The Princess Bride ,favorites
90,The Outsiders,fiction
91,"The Maze Runner (Maze Runner, #1)",young-adult
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",non-fiction
93,The Secret Garden,favorites
94,One Hundred Years of Solitude,fiction
95,The Picture of Dorian Gray,fiction
97,Dracula,fiction
98,"The Girl Who Played with Fire (Millennium, #2)",favorites
100,The Poisonwood Bible,fiction
101,Me Talk Pretty One Day,fiction
102,Where the Wild Things Are,children
103,The Count of Monte Cristo,fiction
104,The Road,fiction
106,Bossypants,fantasy
107,A Walk to Remember,fiction
108,"Confessions of a Shopaholic (Shopaholic, #1)",fiction
109,Les Misérables,fiction
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",fiction
111,The Memory Keeper's Daughter,fiction
113,Catch-22,classics
114,Tuesdays with Morrie,fiction
115,Middlesex,fiction
116,The Adventures of Tom Sawyer,classics
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",fantasy
118,The Joy Luck Club,fiction
119,The Handmaid's Tale,fantasy
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",fiction
121,Lolita,fiction
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",favorites
123,"The Firm (Penguin Readers, Level 5)",fiction
124,Room,fiction
125,Hamlet,play
126,Dune (Dune Chronicles #1),fiction
127,The Tipping Point: How Little Things Can Make a Big Difference,fiction
129,One Flew Over the Cuckoo's Nest,fiction
130,The Old Man and the Sea,classics
131,The Grapes of Wrath,fiction
132,The Five People You Meet in Heaven,fiction
133,"Anne of Green Gables (Anne of Green Gables, #1)",children
134,"City of Glass (The Mortal Instruments, #3)",fiction
135,"A Storm of Swords (A Song of Ice and Fire, #3)",fantasy
136,Divine Secrets of the Ya-Ya Sisterhood,fiction
137,"Outlander (Outlander, #1)",fiction
138,The Scarlet Letter,fiction
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",fiction
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",fiction
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",war
145,Deception Point,fiction
147,Thirteen Reasons Why,fiction
148,Girl with a Pearl Earring,history-fiction
149,"If I Stay (If I Stay, #1)",fiction
150,The Red Tent,fiction
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",young-adult
152,Dear John,fiction
153,"City of Ashes (The Mortal Instruments, #2)",young-adult
154,Macbeth,play
